,LGBM,LogisticRegression,DecisionTree,RandomForest,XGBoost
0,"{'accuracy': 0.8834511825559929, 'precision': 0.8907142342195778, 'recall': 0.8834511825559929, 'f1_score': 0.8837785300489234}",,,,
1,,"{'accuracy': 0.44940610958236094, 'precision': 0.44078573117003017, 'recall': 0.44940610958236094, 'f1_score': 0.43627416697576776}",,,
2,,,"{'accuracy': 0.9985022118499425, 'precision': 0.998504489889346, 'recall': 0.9985022118499425, 'f1_score': 0.9985025015131743}",,
3,,,,"{'accuracy': 0.9985022118499425, 'precision': 0.998503104246426, 'recall': 0.9985022118499425, 'f1_score': 0.9985022385454645}",
4,,,,,"{'accuracy': 0.9849872862168658, 'precision': 0.9851549511375772, 'recall': 0.9849872862168658, 'f1_score': 0.9849998768587155}"
